States,Cancer Sites,Age Groups,Sex,Sex Code,Year,Count
Alabama,Tongue,45-49 years,Male,M,2009,19
Alabama,Tongue,50-54 years,Male,M,2002,20
Alabama,Tongue,50-54 years,Male,M,2003,16
Alabama,Tongue,50-54 years,Male,M,2005,20
Alabama,Tongue,50-54 years,Male,M,2007,21
Alabama,Tongue,50-54 years,Male,M,2008,17
Alabama,Tongue,50-54 years,Male,M,2009,21
Alabama,Tongue,50-54 years,Male,M,2010,19
Alabama,Tongue,50-54 years,Male,M,2011,17
Alabama,Tongue,50-54 years,Male,M,2012,20
Alabama,Tongue,50-54 years,Male,M,2014,22
Alabama,Tongue,50-54 years,Male,M,2015,18
Alabama,Tongue,55-59 years,Male,M,2004,20
Alabama,Tongue,55-59 years,Male,M,2005,23
Alabama,Tongue,55-59 years,Male,M,2006,26
Alabama,Tongue,55-59 years,Male,M,2007,26
Alabama,Tongue,55-59 years,Male,M,2008,23
Alabama,Tongue,55-59 years,Male,M,2009,23
Alabama,Tongue,55-59 years,Male,M,2010,21
Alabama,Tongue,55-59 years,Male,M,2011,18
Alabama,Tongue,55-59 years,Male,M,2012,21
Alabama,Tongue,55-59 years,Male,M,2013,23
Alabama,Tongue,55-59 years,Male,M,2014,23
Alabama,Tongue,55-59 years,Male,M,2015,30
Alabama,Tongue,60-64 years ,Male,M,2005,16
Alabama,Tongue,60-64 years ,Male,M,2006,18
Alabama,Tongue,60-64 years ,Male,M,2007,17
Alabama,Tongue,60-64 years ,Male,M,2008,17
Alabama,Tongue,60-64 years ,Male,M,2009,30
Alabama,Tongue,60-64 years ,Male,M,2010,23
Alabama,Tongue,60-64 years ,Male,M,2011,19
Alabama,Tongue,60-64 years ,Male,M,2012,27
Alabama,Tongue,60-64 years ,Male,M,2013,27
Alabama,Tongue,60-64 years ,Male,M,2014,31
Alabama,Tongue,60-64 years ,Male,M,2015,27
Alabama,Liver,45-49 years,Male,M,2004,19
Alabama,Liver,45-49 years,Male,M,2005,18
Alabama,Liver,50-54 years,Male,M,2002,22
Alabama,Liver,50-54 years,Male,M,2003,18
Alabama,Liver,50-54 years,Male,M,2004,21
